problem,obs,metric,scores,real_goal,pred_goal,correct,correct_num
output/skgrid_gr/,0.1,MaxUtil,"[-0.06404194303999988, -0.1241632732219451, -0.006258199077664641, -0.0018623864571932624]",0,1,False,0
output/skgrid_gr/,0.1,DP,"[-2, -2, -2, 0]",0,2,False,0
output/skgrid_gr/,0.1,KL,"[0.891204281829242, 1.2635701634201115, 1.3657834532016815, 2.7536239101096616]",0,0,True,1
output/skgrid_gr/,0.1,KL2,"[0.8911623954337131, 1.2635267279085889, 1.3657409832567655, 2.7535776257800864]",0,0,True,1
output/skgrid_gr/,0.3,MaxUtil,"[-0.1039289956022689, -0.19061236888933958, -0.008208718704003323, -0.0004839395572536028]",0,1,False,0
output/skgrid_gr/,0.3,DP,"[-4, -4, -4, -1]",0,2,False,0
output/skgrid_gr/,0.3,KL,"[0.6867555653991222, 1.4621173819362414, 1.5549662967757525, 2.072200710513394]",0,0,True,1
output/skgrid_gr/,0.3,KL2,"[0.6867026093103117, 1.4620619681397993, 1.5549128155438576, 2.0721457716374583]",0,0,True,1
output/skgrid_gr/,0.5,MaxUtil,"[-1.4048515900284073, -0.037261763513417104, -0.012038156622750075, -0.002693901821554791]",0,0,True,1
output/skgrid_gr/,0.5,DP,"[-6, -2, -2, 0]",0,0,True,1
output/skgrid_gr/,0.5,KL,"[0.7277572354890441, 2.679507094712273, 2.121032295938357, 2.730371622796691]",0,0,True,1
output/skgrid_gr/,0.5,KL2,"[0.7277191912703113, 2.6794616435307916, 2.1209895669797683, 2.730326363442556]",0,0,True,1
output/skgrid_gr/,0.7,MaxUtil,"[-0.6655560160913143, -0.2392386981628655, -0.015055739834181384, -0.0028954326716684672]",0,0,True,1
output/skgrid_gr/,0.7,DP,"[-9, -2, -2, 0]",0,0,True,1
output/skgrid_gr/,0.7,KL,"[0.8383677728176894, 2.342099253603861, 2.522113392083596, 3.1485614315220505]",0,0,True,1
output/skgrid_gr/,0.7,KL2,"[0.8383210676556321, 2.34204702231543, 2.5220618727513644, 3.148507566309772]",0,0,True,1
output/skgrid_gr/,1.0,MaxUtil,"[-1.6664335312998872, -0.2760572391389405, -0.022196351394690325, -0.0034512689464517433]",0,0,True,1
output/skgrid_gr/,1.0,DP,"[-12, -3, -2, 0]",0,0,True,1
output/skgrid_gr/,1.0,KL,"[0.8511866367936961, 2.53239708726497, 2.63420714844116, 3.1997329728553403]",0,0,True,1
output/skgrid_gr/,1.0,KL2,"[0.851141207867391, 2.532345432546912, 2.634156181665443, 3.199679905363895]",0,0,True,1
output/skgrid_gr2/,0.1,MaxUtil,"[-0.06399999999999988, -0.00409599999999507, -0.025537502250717378, -0.06399991842648114]",0,0,True,1
output/skgrid_gr2/,0.1,DP,"[-1, -1, -1, -1]",0,3,False,0
output/skgrid_gr2/,0.1,KL,"[0.565597175853614, 1.2141031506064521, 1.2129496449463637, 1.2141252230677586]",0,0,True,1
output/skgrid_gr2/,0.1,KL2,"[0.5655409846378449, 1.2140443157579608, 1.212890845915329, 1.2140663879993967]",0,0,True,1
output/skgrid_gr2/,0.3,MaxUtil,"[-1.0646553599999993, -0.06797473247743073, -0.4264842662863985, -0.06757247176932825]",0,0,True,1
output/skgrid_gr2/,0.3,DP,"[-3, -3, -3, -2]",0,2,False,0
output/skgrid_gr2/,0.3,KL,"[0.7103981171740162, 1.1433341670693693, 1.1426850793411727, 2.157148637429191]",0,0,True,1
output/skgrid_gr2/,0.3,KL2,"[0.7103519031477706, 1.1432861884214507, 1.1426371143911915, 2.157096811068335]",0,0,True,1
output/skgrid_gr2/,0.5,MaxUtil,"[-0.47038975999985977, -0.030093673640154552, -0.19284439499062514, -0.08041171876104887]",0,0,True,1
output/skgrid_gr2/,0.5,DP,"[-5, -5, -2, -4]",0,1,False,0
output/skgrid_gr2/,0.5,KL,"[0.87065139525313, 1.136607193129882, 1.5164446539425582, 1.6640453277102616]",0,0,True,1
output/skgrid_gr2/,0.5,KL2,"[0.8706066034810265, 1.1365613160917611, 1.5163973694003823, 1.663997351636817]",0,0,True,1
output/skgrid_gr2/,0.7,MaxUtil,"[-0.6621337599999992, -0.042370643131602104, -0.2694428095558405, -0.1377551425537574]",0,0,True,1
output/skgrid_gr2/,0.7,DP,"[-7, -7, -7, -5]",0,2,False,0
output/skgrid_gr2/,0.7,KL,"[0.6819934354738946, 1.1078995973392327, 1.153489112492588, 1.8205387275601246]",0,0,True,1
output/skgrid_gr2/,0.7,KL2,"[0.6819458659158322, 1.1078502180965575, 1.1534395683985983, 1.8204865158942238]",0,0,True,1
output/skgrid_gr2/,1.0,MaxUtil,"[-1.666229759999859, -0.1064583675548161, -0.6703893711106415, -0.14476833573255335]",0,0,True,1
output/skgrid_gr2/,1.0,DP,"[-9, -9, -2, -6]",0,1,False,0
output/skgrid_gr2/,1.0,KL,"[0.716731392915508, 1.1238804009818075, 1.3704531959204276, 2.0124581250472264]",0,0,True,1
output/skgrid_gr2/,1.0,KL2,"[0.7166834110807198, 1.1238307017218943, 1.3704025820542294, 2.0124049556672983]",0,0,True,1
output/skgrid_gr3/,0.1,MaxUtil,"[-0.06399899782351225, -0.00017891711318281458, -0.00019050403045688176, -0.06345781539877941]",0,0,True,1
output/skgrid_gr3/,0.1,DP,"[-1, 0, 0, -1]",0,3,False,0
output/skgrid_gr3/,0.1,KL,"[1.214127698292581, 4.309468742237514, 4.2316750145965925, 1.2204598594018827]",0,0,True,1
output/skgrid_gr3/,0.1,KL2,"[1.214068863297282, 4.309398034188728, 4.231604626266758, 1.2204009970802998]",0,0,True,1
output/skgrid_gr3/,0.3,MaxUtil,"[-0.425599999999147, -0.0014003639833629132, -0.0006506968525103293, -0.031873383776941835]",0,0,True,1
output/skgrid_gr3/,0.3,DP,"[-2, 0, 0, -1]",0,0,True,1
output/skgrid_gr3/,0.3,KL,"[0.8073295913578916, 2.7722409068200973, 4.989573040965076, 2.420356774326819]",0,0,True,1
output/skgrid_gr3/,0.3,KL2,"[0.8072805218176863, 2.7721839574770595, 4.9895081633326415, 2.4203015123457456]",0,0,True,1
output/skgrid_gr3/,0.5,MaxUtil,"[-1.1855999871728362, -0.0014827924008354338, -0.0006832554858003972, -0.0494946040563812]",0,0,True,1
output/skgrid_gr3/,0.5,DP,"[-3, 0, 0, -1]",0,0,True,1
output/skgrid_gr3/,0.5,KL,"[0.6712426026859933, 2.768003902568367, 6.015556909786912, 2.9325536566179817]",0,0,True,1
output/skgrid_gr3/,0.5,KL2,"[0.6711967928566475, 2.7679498264432545, 6.015491540541537, 2.9324993588619552]",0,0,True,1
output/skgrid_gr3/,0.7,MaxUtil,"[-1.6495989849963482, -0.0024106101838292813, -0.0008781474399480343, -0.11922598957114686]",0,0,True,1
output/skgrid_gr3/,0.7,DP,"[-5, 0, 0, -2]",0,0,True,1
output/skgrid_gr3/,0.7,KL,"[0.725677977073236, 2.8584282729984025, 5.676601321284857, 2.728942094658782]",0,0,True,1
output/skgrid_gr3/,0.7,KL2,"[0.7256308633748736, 2.858372793026763, 5.676535961258892, 2.728887405749173]",0,0,True,1
output/skgrid_gr3/,1.0,MaxUtil,"[-1.6598389849963482, -0.004048993547140701, -0.002516537760098027, -0.12946598791149644]",0,0,True,1
output/skgrid_gr3/,1.0,DP,"[-6, 0, 0, -3]",0,0,True,1
output/skgrid_gr3/,1.0,KL,"[0.8070856311779658, 3.025022478318622, 5.373498983054895, 2.4764723624477316]",0,0,True,1
output/skgrid_gr3/,1.0,KL2,"[0.807036563918866, 3.0249646765862033, 5.373432947947983, 2.476416982513937]",0,0,True,1
output/skgrid_gr4/,0.1,MaxUtil,"[-1.0255894868710334, -0.12065057021591967, -0.011087406180823722, -0.24783665203067765]",0,0,True,1
output/skgrid_gr4/,0.1,DP,"[-2, -1, -1, -1]",0,0,True,1
output/skgrid_gr4/,0.1,KL,"[0.384314661860768, 2.408988047332431, 3.794254242835123, 2.0832774668682768]",0,0,True,1
output/skgrid_gr4/,0.1,KL2,"[0.38427551773822816, 2.408940757360983, 3.794202931571371, 2.0832318460562496]",0,0,True,1
output/skgrid_gr4/,0.3,MaxUtil,"[-1.0654358917398123, -0.16932328112285133, -0.028441711811504507, -0.4983362736838125]",0,0,True,1
output/skgrid_gr4/,0.3,DP,"[-4, -3, -1, -3]",0,0,True,1
output/skgrid_gr4/,0.3,KL,"[0.7583384116050822, 1.7365649413429156, 3.277722837075623, 1.565823970266194]",0,0,True,1
output/skgrid_gr4/,0.3,KL2,"[0.758301406676075, 1.7365240477862067, 3.277676844139293, 1.5657839586043174]",0,0,True,1
output/skgrid_gr4/,0.5,MaxUtil,"[-0.5963555163775112, -0.5994482979496897, -0.1260935495533529, -1.2296197091025625]",0,3,False,0
output/skgrid_gr4/,0.5,DP,"[-6, -6, -5, -5]",0,1,False,0
output/skgrid_gr4/,0.5,KL,"[0.5961207212505775, 1.0915282794913608, 1.7186049556168523, 0.648187853198477]",0,0,True,1
output/skgrid_gr4/,0.5,KL2,"[0.5960832961324712, 1.0914883616168887, 1.7185636462925187, 0.8734481981833602]",0,0,True,1
output/skgrid_gr4/,0.7,MaxUtil,"[-1.6640500646754195, -0.7675086072037113, -0.12552863769380332, -1.7479830013213975]",0,3,False,0
output/skgrid_gr4/,0.7,DP,"[-9, -2, -1, -7]",0,0,True,1
output/skgrid_gr4/,0.7,KL,"[0.642811178155348, 1.6040779211480545, 3.02807915129905, 1.0626127406400419]",0,0,True,1
output/skgrid_gr4/,0.7,KL2,"[0.6427726287722584, 1.6040352485571916, 3.028032187572417, 1.1667242328523781]",0,0,True,1
output/skgrid_gr4/,1.0,MaxUtil,"[-1.6649937527201448, -0.7734624807645308, -0.15906744159756242, -1.753929521070181]",0,3,False,0
output/skgrid_gr4/,1.0,DP,"[-12, -5, -4, -10]",0,0,True,1
output/skgrid_gr4/,1.0,KL,"[0.7520459834054293, 1.4721480285977762, 2.5503900306719554, 1.0665836093461312]",0,0,True,1
output/skgrid_gr4/,1.0,KL2,"[0.7520077683328957, 1.4721067248350392, 2.5503454646683665, 1.144327021499583]",0,0,True,1
output/skgrid_gr5/,0.1,MaxUtil,"[-0.39999999999999963, -0.06281236670704683, -0.04836801926460415, -0.000651291881688577]",0,0,True,1
output/skgrid_gr5/,0.1,DP,"[-1, -1, 0, 0]",0,1,False,0
output/skgrid_gr5/,0.1,KL,"[0.5655971758541973, 1.2218300143333316, 3.5320161948338074, 4.568772067494862]",0,0,True,1
output/skgrid_gr5/,0.1,KL2,"[0.5655409846384284, 1.2217712123724953, 3.531948584083039, 4.568700898771149]",0,0,True,1
output/skgrid_gr5/,0.3,MaxUtil,"[-0.4895999999999995, -0.0771396157730673, -0.1376168698694395, -0.036305131476286195]",0,0,True,1
output/skgrid_gr5/,0.3,DP,"[-3, -3, -2, 0]",0,1,False,0
output/skgrid_gr5/,0.3,KL,"[0.5655971758493806, 1.2164961232454532, 1.985560706355005, 4.101582298176222]",0,0,True,1
output/skgrid_gr5/,0.3,KL2,"[0.5655409846336116, 1.2164373050761335, 1.9854989807680177, 4.10151228067055]",0,0,True,1
output/skgrid_gr5/,0.5,MaxUtil,"[-1.435839999999999, -0.22810999204313737, -0.09123060345363944, -0.09030592799725728]",0,0,True,1
output/skgrid_gr5/,0.5,DP,"[-4, -4, -2, 0]",0,1,False,0
output/skgrid_gr5/,0.5,KL,"[0.5243323637980934, 1.189470392265202, 2.7664224556611505, 4.352997218859249]",0,0,True,1
output/skgrid_gr5/,0.5,KL2,"[0.5242803943759413, 1.189415628341328, 2.7663619129622026, 4.352931182698044]",0,0,True,1
output/skgrid_gr5/,0.7,MaxUtil,"[-1.2598399999999992, -0.20109852799946798, -0.2613084854999531, -0.10289207483341278]",0,0,True,1
output/skgrid_gr5/,0.7,DP,"[-5, -5, -4, 0]",0,1,False,0
output/skgrid_gr5/,0.7,KL,"[0.5325853262092816, 1.1928773154262866, 1.9923812125187141, 4.153151253402648]",0,0,True,1
output/skgrid_gr5/,0.7,KL2,"[0.5325325124284059, 1.1928217333081301, 1.9923228296434132, 4.153084758332748]",0,0,True,1
output/skgrid_gr5/,1.0,MaxUtil,"[-1.6639359999999987, -0.26456625418805224, -0.3137725046967537, -0.2635433667151011]",0,0,True,1
output/skgrid_gr5/,1.0,DP,"[-7, 0, 0, -1]",0,0,True,1
output/skgrid_gr5/,1.0,KL,"[0.6199364429330837, 1.563014994195351, 2.4641156817439414, 3.6764380376947874]",0,0,True,1
output/skgrid_gr5/,1.0,KL2,"[0.6198845974315234, 1.5629592875710645, 2.4640567161806612, 3.676374759392712]",0,0,True,1
output/skgrid_gr6/,0.1,MaxUtil,"[-1.1599999999999993, -0.0, 0, -2.037665152101641e-08]",0,0,True,1
output/skgrid_gr6/,0.1,DP,"[-2, 0, 0, 0]",0,0,True,1
output/skgrid_gr6/,0.1,KL,"[0.21412480535284553, nan, nan, 7.778395125578133]",0,0,True,1
output/skgrid_gr6/,0.1,KL2,"[0.21410276131222483, 0.0, 1.9999358772156615, 3.8891638028815962]",0,1,False,0
output/skgrid_gr6/,0.3,MaxUtil,"[-0.002408442337540723, -0.5996615427676286, -1.469996543980869, -0.6006377363190587]",0,2,False,0
output/skgrid_gr6/,0.3,DP,"[-6, -3, -6, -2]",0,2,False,0
output/skgrid_gr6/,0.3,KL,"[0.6406646695612969, 4.57294063388521, 0.640664700875204, 1.7090191374532324]",0,0,True,1
output/skgrid_gr6/,0.3,KL2,"[0.6406217318435663, 4.57288496823844, 0.6406217631571237, 1.7089718141898462]",0,0,True,1
output/skgrid_gr6/,0.5,MaxUtil,"[-1.1880028051931129, -0.26369030024199963, -1.466555903999999, -0.6006422800356396]",0,2,False,0
output/skgrid_gr6/,0.5,DP,"[-9, -3, -6, -5]",0,0,True,1
output/skgrid_gr6/,0.5,KL,"[0.4984846685793403, 4.57293165893994, 0.6406646995182724, 3.3938262246287136]",0,0,True,1
output/skgrid_gr6/,0.5,KL2,"[0.49844869542071496, 3.048583995555033, 1.0937264669386841, 3.016689852213682]",0,0,True,1
output/skgrid_gr6/,0.7,MaxUtil,"[-1.440765578637326, -0.8626560678340948, -0.5063346175808673, -0.5407016770735243]",0,0,True,1
output/skgrid_gr6/,0.7,DP,"[-13, 0, -8, -3]",0,0,True,1
output/skgrid_gr6/,0.7,KL,"[0.5627024777645158, 4.878359919137728, 0.7805657041146735, 3.6309001084397052]",0,0,True,1
output/skgrid_gr6/,0.7,KL2,"[0.5626663084515945, 3.3772856339515154, 1.2495265413824586, 3.3515542789408936]",0,0,True,1
output/skgrid_gr6/,1.0,MaxUtil,"[-1.6666665521340551, -0.8908142078589816, -1.6665967615808666, -0.8237189889525562]",0,0,True,1
output/skgrid_gr6/,1.0,DP,"[-18, 0, -11, -4]",0,0,True,1
output/skgrid_gr6/,1.0,KL,"[0.48658791588412903, 5.1874115211792295, 0.6599751178146905, 3.937657139105984]",0,0,True,1
output/skgrid_gr6/,1.0,KL2,"[0.48655375248010263, 3.4582363523577198, 1.1810453779624583, 3.718853086160684]",0,0,True,1
output/skgrid_gr7/,0.1,MaxUtil,"[-0.02969267122343997, -0.44717718062979256, -4.865392127079875e-05, -0.02969595936958735]",0,1,False,0
output/skgrid_gr7/,0.1,DP,"[-2, -1, -2, 0]",0,2,False,0
output/skgrid_gr7/,0.1,KL,"[0.8075777958740002, 2.320361579066123, 0.8073195942602623, 2.1602408195862854]",0,2,False,0
output/skgrid_gr7/,0.1,KL2,"[0.8075287257301497, 2.3203066227857145, 0.8072705248139611, 2.1601861071307185]",0,2,False,0
output/skgrid_gr7/,0.3,MaxUtil,"[-0.6280926712247408, -0.4129423070779633, -0.0010290724812709205, -0.6246814566344404]",0,0,True,1
output/skgrid_gr7/,0.3,DP,"[-4, -1, -4, 0]",0,2,False,0
output/skgrid_gr7/,0.3,KL,"[0.604066782853228, 3.80072874913058, 0.6039314142338605, 1.6372886198193435]",0,2,False,0
output/skgrid_gr7/,0.3,KL2,"[0.6040225956781287, 3.800673155566043, 0.603887227465516, 1.6372399267444377]",0,2,False,0
output/skgrid_gr7/,0.5,MaxUtil,"[-1.2263986079642202, -0.2469521480681625, -0.0020093314950758332, -0.29143489641123005]",0,0,True,1
output/skgrid_gr7/,0.5,DP,"[-6, 0, -6, -5]",0,2,False,0
output/skgrid_gr7/,0.5,KL,"[0.7716444964200918, 3.4878086392883585, 0.7716415788292189, 1.6929979550613012]",0,2,False,0
output/skgrid_gr7/,0.5,KL2,"[0.7716008560996647, 3.4877556011590145, 0.7715979385310315, 1.6929506812370303]",0,2,False,0
output/skgrid_gr7/,0.7,MaxUtil,"[-1.6519986079629185, -0.29442275843629095, -0.0027066345350757063, -0.7136249211694443]",0,0,True,1
output/skgrid_gr7/,0.7,DP,"[-8, 0, -8, -7]",0,2,False,0
output/skgrid_gr7/,0.7,KL,"[0.6788633913810078, 3.6611555719149553, 0.6788626535859476, 1.5483274819256196]",0,2,False,0
output/skgrid_gr7/,0.7,KL2,"[0.678820835171645, 3.661102556123758, 0.6788200973798476, 1.5482813581806845]",0,2,False,0
output/skgrid_gr7/,1.0,MaxUtil,"[-1.6665933798667307, -0.8748786426675723, -0.0027305521289573724, -0.7295980854890625]",0,0,True,1
output/skgrid_gr7/,1.0,DP,"[-11, 0, -11, -4]",0,2,False,0
output/skgrid_gr7/,1.0,KL,"[0.6597838150383181, 3.1442478587054654, 0.6599061284566085, 1.5382706434474]",0,0,True,1
output/skgrid_gr7/,1.0,KL2,"[0.6597419413877949, 3.14419702110086, 0.6598642533550365, 1.5382251475928677]",0,0,True,1
output/skgrid_gr8/,0.1,MaxUtil,"[-0.16000003188583697, -1.9461570559999914e-05, -0.0019005439999999938, -4.8653926399999806e-05]",0,0,True,1
output/skgrid_gr8/,0.1,DP,"[-3, -2, -2, -2]",0,0,True,1
output/skgrid_gr8/,0.1,KL,"[0.21412463010078872, 0.21412480535284278, 0.21412480535284747, 0.2141248053528465]",0,0,True,1
output/skgrid_gr8/,0.1,KL2,"[0.21410258606178914, 0.8093804666133685, 0.14273517420815118, 0.809380466613371]",0,2,False,0
output/skgrid_gr8/,0.3,MaxUtil,"[-0.18725526308785787, -1.0102924120227834, -0.1651187514804203, -0.025731030056959953]",0,1,False,0
output/skgrid_gr8/,0.3,DP,"[-8, -6, -5, -5]",0,0,True,1
output/skgrid_gr8/,0.3,KL,"[0.23386580521691622, 0.24057504583537384, 2.241013587604829, 0.2085824690085269]",0,3,False,0
output/skgrid_gr8/,0.3,KL2,"[0.23384166156635036, 0.6803966201450546, 1.6807374451726558, 0.8803262765559765]",0,0,True,1
output/skgrid_gr8/,0.5,MaxUtil,"[-1.0688636136113447, -0.4685147693776891, -0.21892203824634182, -1.1712869234440626]",0,3,False,0
output/skgrid_gr8/,0.5,DP,"[-12, -9, -7, -9]",0,0,True,1
output/skgrid_gr8/,0.5,KL,"[0.20861253024362425, 0.20796665354144128, 1.6501244566897217, 0.20796664412000027]",0,3,False,0
output/skgrid_gr8/,0.5,KL2,"[0.2085905706186488, 0.6559425024230826, 1.2375715458996555, 0.6559424953570672]",0,0,True,1
output/skgrid_gr8/,0.7,MaxUtil,"[-1.2402891407436276, -1.1921631625936873, -0.5750176945407222, -0.4804079063405486]",0,0,True,1
output/skgrid_gr8/,0.7,DP,"[-17, -12, -7, -11]",0,0,True,1
output/skgrid_gr8/,0.7,KL,"[0.32816824006740253, 0.3745250363528559, 2.112501950469285, 0.37216022255653664]",0,0,True,1
output/skgrid_gr8/,0.7,KL2,"[0.32814281092888253, 0.8525681010027357, 1.4911537998205897, 0.9466526417759877]",0,0,True,1
output/skgrid_gr8/,1.0,MaxUtil,"[-1.6666665668155756, -1.6666663803355108, -0.8747488103157276, -1.6666659506951076]",0,0,True,1
output/skgrid_gr8/,1.0,DP,"[-24, -17, -9, -16]",0,0,True,1
output/skgrid_gr8/,1.0,KL,"[0.3181749874366318, 0.36024493149867076, 2.3461133289080944, 0.3577266154361525]",0,0,True,1
output/skgrid_gr8/,1.0,KL2,"[0.3181483884165522, 0.838467952938157, 1.6618046875168206, 0.9051111693031025]",0,0,True,1
output/skgrid_gr9/,0.1,MaxUtil,"[-4.865392639948421e-05, -0.0007602175999999976, -0.39999999999999963, -0.0019005439999999112]",0,2,False,0
output/skgrid_gr9/,0.1,DP,"[-2, -2, -1, -2]",0,3,False,0
output/skgrid_gr9/,0.1,KL,"[0.7002689648195104, 0.7002689647700135, 0.9999999999988, 0.7002689647919771]",0,1,False,0
output/skgrid_gr9/,0.1,KL2,"[0.7002361829752508, 0.7002361829257542, 1.4999548087836307, 0.7002361829477177]",0,1,False,0
output/skgrid_gr9/,0.3,MaxUtil,"[-1.0648021606399993, -1.0125337599999995, -0.08531242106978933, -0.031334399999999936]",0,0,True,1
output/skgrid_gr9/,0.3,DP,"[-5, -4, 0, -3]",0,0,True,1
output/skgrid_gr9/,0.3,KL,"[0.3632553047375232, 0.4005379295671778, 6.3086317160876, 0.4005379295837283]",0,0,True,1
output/skgrid_gr9/,0.3,KL2,"[0.36321945269634376, 0.7203860758638193, 3.323404025534844, 1.0402735262117102]",0,0,True,1
output/skgrid_gr9/,0.5,MaxUtil,"[-0.02767083274239943, -0.4323567615999996, -1.4939924168511594, -1.0808919039999991]",0,2,False,0
output/skgrid_gr9/,0.5,DP,"[-7, -7, -2, -7]",0,3,False,0
output/skgrid_gr9/,0.5,KL,"[0.4831248140266845, 0.48312481421392345, 3.5519720134470583, 0.483124814218753]",0,0,True,1
output/skgrid_gr9/,0.5,KL2,"[0.4830874267311342, 0.48308742691837125, 2.8227924937476856, 0.48308742692320067]",0,0,True,1
output/skgrid_gr9/,0.7,MaxUtil,"[-0.23082219274239912, -1.1065967615999992, -1.4941424040237647, -0.2664919039999995]",0,2,False,0
output/skgrid_gr9/,0.7,DP,"[-10, -9, -2, -8]",0,0,True,1
output/skgrid_gr9/,0.7,KL,"[0.4583487486937784, 0.4647721731776379, 6.619748402797591, 0.472801453640661]",0,0,True,1
output/skgrid_gr9/,0.7,KL2,"[0.45831078637449735, 0.6182545116662899, 4.833779103460705, 0.5782010132233552]",0,0,True,1
output/skgrid_gr9/,1.0,MaxUtil,"[-1.6666621927423981, -1.6665967615999988, -1.4941424040237647, -1.6664919039999986]",0,0,True,1
output/skgrid_gr9/,1.0,DP,"[-14, -11, -2, -10]",0,0,True,1
output/skgrid_gr9/,1.0,KL,"[0.4269908716476948, 0.4680986058214413, 6.619748402797591, 0.47485467345525445]",0,0,True,1
output/skgrid_gr9/,1.0,KL2,"[0.4269537854668991, 0.7963183200910177, 3.7384010257197398, 0.6248546920036294]",0,0,True,1
output/skgrid_gr10/,0.1,MaxUtil,"[-0.02586214399999995, -0.0016551772159999947, -1.000000087786454, -0.06465535999999987]",0,2,False,0
output/skgrid_gr10/,0.1,DP,"[-2, -2, -1, -2]",0,3,False,0
output/skgrid_gr10/,0.1,KL,"[0.30733136746827444, 0.30733136746025785, 7.492510671052296, 0.3073313674682758]",0,1,False,0
output/skgrid_gr10/,0.1,KL2,"[0.3073006934273045, 0.30730069341928784, 7.492460846415978, 0.3073006934273057]",0,1,False,0
output/skgrid_gr10/,0.3,MaxUtil,"[-1.0687513599999994, -0.06840008703999986, -0.0066590423461735946, -0.17187839999999976]",0,0,True,1
output/skgrid_gr10/,0.3,DP,"[-4, -4, 0, -3]",0,1,False,0
output/skgrid_gr10/,0.3,KL,"[0.44180274112471246, 0.4418027411490443, 5.997475109300625, 0.4555576783405606]",0,0,True,1
output/skgrid_gr10/,0.3,KL2,"[0.4417592152897811, 0.44175921531411266, 1.9993270035191886, 0.841618528234734]",0,0,True,1
output/skgrid_gr10/,0.5,MaxUtil,"[-0.2555965439999996, -0.016358178815999967, -1.1242548270735704, -0.6389913599999992]",0,2,False,0
output/skgrid_gr10/,0.5,DP,"[-6, -6, -1, -6]",0,3,False,0
output/skgrid_gr10/,0.5,KL,"[0.42448882430198936, 0.4244888242973473, 6.1014775416160605, 0.4244888243020342]",0,1,False,0
output/skgrid_gr10/,0.5,KL2,"[0.42444676786930335, 0.4244467678646613, 4.067609420992971, 0.4244467678693482]",0,1,False,0
output/skgrid_gr10/,0.7,MaxUtil,"[-0.6562519039999992, -0.042000121855999925, -1.1242548270735704, -1.6406297599999986]",0,3,False,0
output/skgrid_gr10/,0.7,DP,"[-8, -8, -1, -8]",0,3,False,0
output/skgrid_gr10/,0.7,KL,"[0.41850110061963297, 0.4185011006189056, 6.1014775416160605, 0.4185011006181814]",0,3,False,0
output/skgrid_gr10/,0.7,KL2,"[0.4184597322847886, 0.41845973228406125, 3.3006990503966858, 0.4184597322833371]",0,3,False,0
output/skgrid_gr10/,1.0,MaxUtil,"[-1.6665967615999988, -0.10666219274239774, -1.5244135424786047, -1.6664919039999764]",0,0,True,1
output/skgrid_gr10/,1.0,DP,"[-11, -11, -2, -10]",0,1,False,0
output/skgrid_gr10/,1.0,KL,"[0.4680986058200504, 0.46809860584902635, 5.691261369319645, 0.47485467345908344]",0,0,True,1
output/skgrid_gr10/,1.0,KL2,"[0.4680589863283602, 0.468058986357336, 3.2861059697029145, 0.6134623728581111]",0,0,True,1
